"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"1-Methylhistidine","7.7 +/- 1.9","249 °C","N/A","200 g/kg","-2.95","169.085126611"
"1,3-Diaminopropane","0.04 +/- 0.03","-12 °C","139.80 °C. @  760.00 mm Hg","1e+006 mg/L @ 25 °C (est)","-1.43","74.08439833"
"2-Ketobutyric acid","3.33 +/- 5.00","33 °C","N/A","119 mg/mL","0.07","102.031694058"
"2-Hydroxybutyric acid","8.00-80.0","44.2 °C","N/A","484 g/L","-0.16","104.047344118"
"3-Hydroxybutyric acid","60.0 +/- 20.0","49 - 50 °C","N/A","539 g/L","-0.50","104.047344122"
"Deoxyuridine","<0.1","167 °C","N/A","90.6 g/L","-1.51","228.074621504"
"Deoxycytidine","0.2 (0.0-0.5)","207 - 210 °C","N/A","870 mg/mL","-1.77","227.090605919"
"Cortexolone","0.0039 +/- 0.0004","215 °C","N/A","0.025 g/L","3.08","346.214409448"
"Deoxycorticosterone","0.073 (0.034-0.11)","141 - 142 °C","N/A","0.0595 mg/mL at 37 °C","2.88","330.219494826"
"4-Pyridoxic acid","0.027 (0.0062-3.14)","247 - 248 °C","N/A","4337 mg/L @ 25 °C (est)","-0.08","183.053157781"
"alpha-Ketoisovaleric acid","14.0 (0.0-28.0)","31.5 °C","N/A","30.2 g/L","0.49","116.047344122"
"p-Hydroxyphenylacetic acid","6.346 +/- 0.518","148 - 150 °C","N/A","60.7 mg/mL","0.75","152.047344122"
"Iodotyrosine","0.00069 +/- 0.00020","205 °C","N/A","3 mg/mL","-1.51","306.970536611"
"3-Methoxytyramine","0.0025 (0.0016-0.0029)","N/A","N/A","5.36 g/L","-0.08","167.094628665"
"(S)-3-Hydroxyisobutyric acid","21.0 +/- 2.0","N/A","N/A","571 g/L","-0.47","104.047344122"
"Tetrahydrobiopterin","0.0110 +/- 0.0008","250 - 255 °C (hydrochloride salt)","N/A","2.03 g/L","-1.66","241.117489371"
"Biotin","0.0034 (0.002 - 0.0051)","232 °C","N/A","0.22 mg/mL at 25 °C","0.17","244.088163078"
"Androsterone","0.00065 (0.00053-0.00088)","185 °C","N/A","0.012 mg/mL at 23 °C","3.69","290.224580204"
"7-Dehydrocholesterol","<0.65","150.5 °C","N/A","1 mg/mL","7.30","384.33921603"
"Carnosine","0.00-0.10","253 - 256 °C","N/A","384 mg/mL","-2.96","226.106590334"
"Adenine","0.3 +/-  0.1","360 °C","N/A","1.03 mg/mL","-0.09","135.054495185"
"Taurocholic acid","0.38 +/- 0.20","125 °C","N/A","0.077 g/L","0.79","515.291673489"
"Aldosterone","0.000139-0.00486","166.5 °C","N/A","0.0512 mg/mL at 37 °C","1.08","360.193674006"
"Dihydrobiopterin","0.006 +/- 0.0003","N/A","N/A","1.63 g/L","-1.43","239.101839307"
"Butyric acid","1.0 (0.3- 1.5)","-5.7 °C","N/A","60.0 mg/mL","0.79","88.0524295"
"Acetic acid","30.4 (22.0-40.0)","16.6 °C","N/A","1000.0 mg/mL","-0.17","60.021129372"
"Betaine","26-67","293 - 301 °C","N/A","611.0 mg/mL at 19 °C","-2.12","118.086803633"
"Ascorbic acid","88.6 (21.0 - 171.0)","191 °C","552.67 °C. @  760.00 mm Hg (est)","400 mg/mL at 40 °C","-1.85","176.032087988"
"Adenosine monophosphate","5.1+/- 1.3","195 °C","N/A","10 mg/mL at 20 °C","-3.13","347.063084339"
"Adenosine","0.505 +/- 0.142","235.5 °C","N/A","37 mg/mL","-1.05","267.096753929"
"Ammonia","<50","-77.7 °C","N/A","482 mg/mL at 24 °C","-0.98","17.026549101"
"Argininosuccinic acid","<2","N/A","N/A","0.46 g/L","-3.25","290.122634328"
"Androstenedione","0.000698","170 - 173 °C","N/A","0.0578 mg/mL","2.75","286.193280076"
"Bilirubin","13.0 (5.0-21.0)","N/A","N/A","0.009 mg/mL at 25 °C","3.22","584.263484904"
"beta-Alanine","3.0 (1.3-20.0)","200 °C","N/A","545.0 mg/mL","-3.05","89.047678473"
"Cyclic AMP","0.0085 +/- 0.0005","219 - 220 °C","N/A","4 mg/mL","-2.96","329.052519653"
"Acetoacetic acid","21.0 (0.0-86.0)","36.5 °C","237.00 to  239.00 °C. @  760.00 mm Hg","1000 mg/mL at 20 °C","-0.467 (est)","102.031694058"
"L-Carnitine","29.74 +/- 7.55","197 °C","N/A","5.33 g/L","-2.90","162.113018383"
"Cortisol","0.287 +/- 0.099","220 °C","N/A","0.32 mg/mL","1.61","362.20932407"
"Creatine","54.8 +/-  21.0","303 °C","N/A","13.3 mg/mL at 18 °C","-1.59","131.069476547"
"Cholesterol",">6207.108","148 °C","N/A","9.5e-05 mg/mL","7.02","386.354866094"
"Epinephrine","0.00164 +/- 0.00012","211.5 °C","N/A","0.18 mg/mL","-1.37","183.089543287"
"Pipecolic acid","2.46 +/- 1.26","264 °C","N/A","314 mg/mL","-2.31","129.078978601"
"Dopamine","< 0.00013","128 °C","N/A","535 mg/mL","-0.98","153.078978601"
"Dihydrouracil","0.31 (0.02-1.63)","279 - 281 °C","N/A","25.9 g/L","-1.28","114.042927446"
"Dehydroepiandrosterone","0.00173-0.0264","140 - 141 °C","N/A","0.0635 mg/mL","3.23","288.20893014"
"Cysteinylglycine","65.7 +/- 4.6","N/A","N/A","6.25 g/L","-2.59","178.041212886"
"Deoxyguanosine","0","300 °C","N/A","11.5 g/L","-1.30","267.096753929"
"Glycerophosphocholine","34.0 +/- 5.0","142.5 °C","N/A","8.96 g/L","-2.56","257.102824366"
"Dimethylamine","20.18 (3.33-53.22)","-92.2 °C","N/A","1630 mg/mL at 40 °C","-0.38","45.057849229"
